survey,design_year,stratum,area,area_id,subarea_name
98,2022,10,78705.674,NA,NA
98,2022,20,41193.223,NA,NA
98,2022,31,94978.487,NA,NA
98,2022,32,8846.729000000001,NA,NA
98,2022,41,62310.016,NA,NA
98,2022,42,24122.12,NA,NA
98,2022,43,21063.671,NA,NA
98,2022,50,38038.893,NA,NA
98,2022,61,87776.923,NA,NA
98,2022,62,6461.505,NA,NA
98,2022,82,17953.64,NA,NA
98,2022,90,11539.04,NA,NA
143,2022,71,81255.025,NA,NA
98,2010,100,7784.678000000001,NA,NA
143,2022,70,79259.889,NA,NA
143,2022,81,38351.89,NA,NA
