year,species_code,sex,bias
2013,21720,0,-4.628717633600112e-5
2013,21720,1,-6.874433088950994e-5
2013,21720,2,-8.359732583025346e-5
2013,21720,3,-6.807650272968322e-5
2013,21720,4,-4.16496923957711e-5
2013,21720,12,-3.835428938435149e-5
2014,21720,0,-2.3535238810059365e-5
2014,21720,1,-6.681880570137565e-5
2014,21720,2,-3.799803341625213e-5
2014,21720,3,-7.735086328834855e-5
2014,21720,4,-1.9967791633295944e-5
2014,21720,12,-2.5683408238823142e-5
2014,21740,0,-1.1249676344191697e-5
2014,21740,1,-3.3158953110940916e-5
2014,21740,2,-2.047202438179339e-5
2014,21740,3,-2.602493010972415e-4
2014,21740,4,-9.102673422558159e-6
2014,21740,12,-1.466950698313906e-5
2015,21720,0,-3.471345775970756e-5
2015,21720,1,-9.073762735929846e-5
2015,21720,2,-3.193772772347197e-5
2015,21720,3,-7.187673092002367e-5
2015,21720,4,-1.8858938424358828e-5
2015,21720,12,-2.9401672776919406e-5
2015,21740,0,-1.994708452288569e-5
2015,21740,1,-6.821823642440718e-5
2015,21740,2,-5.940590716661492e-5
2015,21740,3,-2.1623274624208537e-6
2015,21740,4,-2.9048349348169232e-5
2015,21740,12,-3.482161178356077e-5
2016,21720,0,-3.9414910704627466e-5
2016,21720,1,-9.119869672658073e-5
2016,21720,2,-5.1237201044427224e-5
2016,21720,3,-4.461340391794013e-4
2016,21720,4,-3.49276450502449e-5
2016,21720,12,-3.576193394277743e-5
2016,21740,0,-9.470899241845465e-5
2016,21740,1,-1.2485788672033347e-4
2016,21740,2,-3.800163390242887e-4
2016,21740,3,-4.64229965706588e-5
2016,21740,4,-7.842154219321304e-5
2016,21740,12,-1.1973759389525968e-4
2017,21720,0,-1.281201024343007e-4
2017,21720,1,-2.0032860220121524e-4
2017,21720,2,-3.353674459658077e-4
2017,21720,3,-0.0025611390521689797
2017,21720,4,-1.1525054580225336e-4
2017,21720,12,-1.3226657466927522e-4
2017,21740,0,-1.3541896591893012e-4
2017,21740,1,-9.153666751552319e-5
2017,21740,2,-4.0609937414207696e-4
2017,21740,3,-2.662454702950306e-5
2017,21740,4,-1.0539815366450096e-4
2017,21740,12,-1.1827886781989609e-4
2018,21720,0,-9.372175871849453e-5
2018,21720,1,-4.159628333717634e-4
2018,21720,2,-1.6731583596401906e-4
2018,21720,3,-0.0022855357146074067
2018,21720,4,-8.697855279577014e-5
2018,21720,12,-1.4877367888860022e-4
2018,21740,0,-2.2111927100962358e-4
2018,21740,1,-3.730420766396168e-4
2018,21740,2,-5.309558003100227e-4
2018,21740,3,-1.731510063563735e-5
2018,21740,4,-2.0906740402029482e-4
2018,21740,12,-2.1593904140925922e-4
2019,21720,0,-6.426806772256305e-5
2019,21720,1,-2.014281932625896e-4
2019,21720,2,-1.238394330535699e-4
2019,21720,3,-0.004968150088459293
2019,21720,4,-6.588241132048783e-5
2019,21720,12,-8.064542510196598e-5
2019,21740,0,-2.4326736999385925e-4
2019,21740,1,-3.611900095291905e-4
2019,21740,2,-4.7950067800438706e-4
2019,21740,3,-2.775121673513593e-6
2019,21740,4,-2.1165492213889262e-4
2019,21740,12,-2.0920386684071958e-4
2021,21720,0,-0.00019487731719450114
2021,21720,1,-2.0538877183940457e-4
2021,21720,2,-3.3482868172252003e-4
2021,21720,3,-0.0013271004009158904
2021,21720,4,-1.5851327775807188e-4
2021,21720,12,-1.3381797526520426e-4
2021,21740,0,-2.0770418074871527e-4
2021,21740,1,-4.331840529139671e-4
2021,21740,2,-3.9919680406950324e-4
2021,21740,3,-1.62362955431598e-5
2021,21740,4,-1.9050768345016544e-4
2021,21740,12,-2.2570390802768706e-4
2022,21720,0,-1.0163923975263518e-4
2022,21720,1,-2.461077961876386e-4
2022,21720,2,-1.779313034276471e-4
2022,21720,3,-4.6182892781034354e-4
2022,21720,4,-9.037995018064426e-5
2022,21720,12,-1.0893557653979588e-4
2022,21740,0,-1.383738808099921e-4
2022,21740,1,-1.8439519089132208e-4
2022,21740,2,-2.929076109011322e-4
2022,21740,3,-3.373700099556579e-6
2022,21740,4,-1.3840304216431278e-4
2022,21740,12,-1.189886140814274e-4
2023,21720,0,-1.8340772581757283e-4
2023,21720,1,-2.5474053712015694e-4
2023,21720,2,-3.0764587899943113e-4
2023,21720,3,-3.768840313189478e-4
2023,21720,4,-1.717182733762247e-4
2023,21720,12,-1.4030155230625917e-4
2023,21740,0,-1.1109455202467027e-4
2023,21740,1,-1.8285175451318057e-4
2023,21740,2,-3.175086054226363e-4
2023,21740,3,-8.53777133988241e-6
2023,21740,4,-1.0000413618687154e-4
2023,21740,12,-1.218287278865362e-4
