year,species_code,sex,sex_desc,iss,nss,nhls
2013,21720,0,total_pre,838.0134163060931,19902,354
2013,21720,1,male,604.6692919307624,9385,344
2013,21720,2,female,670.0886398800822,9277,344
2013,21720,4,total_post,838.0134263970037,19902,354
2013,21720,12,female_male,1275.8598327181376,18662,353
2013,21740,0,total_pre,2612.082121073149,247864,367
2013,21740,1,male,1968.2722583904388,108749,314
2013,21740,2,female,2005.7083177981074,107902,326
2013,21740,4,total_post,2612.0821169448614,247864,367
2013,21740,12,female_male,3896.4441173506043,216651,338
2014,21720,0,total_pre,1042.6102678710147,29204,373
2014,21720,1,male,789.6872345979896,14009,366
2014,21720,2,female,769.9915360278404,13112,367
2014,21720,4,total_post,1042.6102692697878,29204,373
2014,21720,12,female_male,1565.21312970348,27121,372
2014,21740,0,total_pre,2033.9286156684454,314054,368
2014,21740,1,male,1930.2086375348006,131797,342
2014,21740,2,female,2078.2121403531887,129980,348
2014,21740,4,total_post,2033.9286185844812,314054,368
2014,21740,12,female_male,3905.320503848487,261777,356
2015,21720,0,total_pre,1976.7201749515134,19880,354
2015,21720,1,male,1350.153698847223,9850,347
2015,21720,2,female,1328.9076672732458,9626,344
2015,21720,4,total_post,1976.7201713511063,19880,354
2015,21720,12,female_male,2690.685121480851,19476,352
2015,21740,0,total_pre,3620.5333081457493,288941,375
2015,21740,1,male,2716.8266307077724,134270,371
2015,21740,2,female,2927.8809088876874,136385,372
2015,21740,4,total_post,3620.533306777528,288941,375
2015,21740,12,female_male,5545.349230015127,270655,373
2016,21720,0,total_pre,3166.970691093616,19180,376
2016,21720,1,male,2058.9103702450566,9496,369
2016,21720,2,female,1906.3119872675495,9382,373
2016,21720,4,total_post,3166.9706709807165,19180,376
2016,21720,12,female_male,3929.6648372742375,18878,376
2016,21740,0,total_pre,2234.1585282549313,151089,372
2016,21740,1,male,1859.341210276761,75556,370
2016,21740,2,female,1666.6327976635241,67831,369
2016,21740,4,total_post,2234.1585301635255,151089,372
2016,21740,12,female_male,3517.65284357519,143387,372
2017,21720,0,total_pre,3919.9693617272687,15020,481
2017,21720,1,male,2377.946291910139,7487,464
2017,21720,2,female,2321.7993688437496,7436,468
2017,21720,4,total_post,3919.9693919938627,15020,481
2017,21720,12,female_male,4630.190998776622,14923,480
2017,21740,0,total_pre,4034.8303026610015,223956,499
2017,21740,1,male,2831.0619727576545,114681,493
2017,21740,2,female,3078.0450943876926,94856,497
2017,21740,4,total_post,4034.830321499036,223956,499
2017,21740,12,female_male,5674.743063895988,209537,498
2018,21720,0,total_pre,2928.0769972040275,8806,364
2018,21720,1,male,1658.4333710988385,4379,339
2018,21720,2,female,1704.9507157690816,4351,355
2018,21720,4,total_post,2928.0770515503905,8806,364
2018,21720,12,female_male,3373.255053473252,8730,362
2018,21740,0,total_pre,1223.5113815934299,100983,370
2018,21740,1,male,962.2948339647255,45619,360
2018,21740,2,female,970.6907362355327,39109,366
2018,21740,4,total_post,1223.5113779796575,100983,370
2018,21740,12,female_male,1891.9755097723869,84728,368
2019,21720,0,total_pre,1779.8094908498751,23408,479
2019,21720,1,male,1097.2200106403932,11821,463
2019,21720,2,female,1449.3221407955546,11437,467
2019,21720,4,total_post,1779.8095207356525,23408,479
2019,21720,12,female_male,2496.610271078352,23258,479
2019,21740,0,total_pre,3126.379292956161,346352,506
2019,21740,1,male,3505.4944793130285,142499,486
2019,21740,2,female,3782.129816144095,142827,494
2019,21740,4,total_post,3126.3792934977805,346352,506
2019,21740,12,female_male,7162.554876761645,285326,502
2021,21720,0,total_pre,4027.8778307420284,17397,476
2021,21720,1,male,2656.7241922859757,8815,452
2021,21720,2,female,2458.2889043544965,8071,461
2021,21720,4,total_post,4027.8778839487886,17397,476
2021,21720,12,female_male,5125.606459554054,16886,475
2021,21740,0,total_pre,2299.3949496415635,124670,508
2021,21740,1,male,1659.4943586281902,56754,489
2021,21740,2,female,1920.5443475678544,53748,494
2021,21740,4,total_post,2299.3949545378396,124670,508
2021,21740,12,female_male,3538.357938559643,110502,502
2022,21720,0,total_pre,2867.9776967250727,16677,481
2022,21720,1,male,2015.5066621860785,8287,461
2022,21720,2,female,1993.1161601795686,7888,461
2022,21720,4,total_post,2867.9776632402486,16677,481
2022,21720,12,female_male,4011.338096937265,16175,478
2022,21740,0,total_pre,2292.269593162718,242491,510
2022,21740,1,male,1902.1955074793934,117747,470
2022,21740,2,female,1661.3604016114211,104698,483
2022,21740,4,total_post,2292.2695918610584,242491,510
2022,21740,12,female_male,3557.000721414885,222445,488
2023,21720,0,total_pre,2231.0263163556224,19943,438
2023,21720,1,male,1571.5200801627575,9641,420
2023,21720,2,female,1682.4840572217672,9462,422
2023,21720,4,total_post,2231.026302963939,19943,438
2023,21720,12,female_male,3254.9493777075077,19103,436
2023,21740,0,total_pre,1882.9640723600548,153681,478
2023,21740,1,male,1565.9305368490222,63502,445
2023,21740,2,female,1533.6736629379277,69416,449
2023,21740,4,total_post,1882.9640712565817,153681,478
2023,21740,12,female_male,3023.4319168793177,132918,456
2024,21720,0,total_pre,2544.282843354952,12950,335
2024,21720,1,male,1684.078504707418,6440,324
2024,21720,2,female,1716.4585502416098,6114,324
2024,21720,4,total_post,2544.2827707725173,12950,335
2024,21720,12,female_male,3400.6034470470254,12554,334
2024,21740,0,total_pre,1192.3947842484795,228762,348
2024,21740,1,male,859.4608054951693,104246,337
2024,21740,2,female,850.6379551935963,97563,341
2024,21740,4,total_post,1192.3947868295763,228762,348
2024,21740,12,female_male,1636.738219548071,201809,346
